iter	Logloss
0	0.5845949043
1	0.506377104
2	0.4622751488
3	0.4364768826
4	0.4143714657
5	0.3957140344
6	0.3845648777
7	0.3742813365
8	0.3665276971
9	0.3594895915
10	0.3549415953
11	0.3495870916
12	0.345821824
13	0.3411307471
14	0.3379708399
15	0.3352003121
16	0.332793034
17	0.3297528036
18	0.3277173056
19	0.3255870977
20	0.3241546648
21	0.3225235307
22	0.3215189641
23	0.3188011147
24	0.3174313249
25	0.3159678462
26	0.3147557734
27	0.3138061844
28	0.3128485278
29	0.3116847993
30	0.3108345702
31	0.3097494996
32	0.3085362835
33	0.3080415064
34	0.307273792
35	0.306708675
36	0.3058110781
37	0.3050861328
38	0.3031582981
39	0.3026393942
40	0.3021003938
41	0.3014163013
42	0.2995321243
43	0.298878413
44	0.298001824
45	0.2971566546
46	0.2962195156
47	0.2957742352
48	0.2945853082
49	0.29390512
50	0.2935180858
51	0.2929101984
52	0.2920404513
53	0.2915011543
54	0.2908724753
55	0.2902229626
56	0.2897680119
57	0.2891641698
58	0.2885239667
59	0.2876309013
60	0.2873008412
61	0.2869047078
62	0.2862347707
63	0.2859840877
64	0.2855206478
65	0.2852205779
66	0.2846112586
67	0.2842619505
68	0.283692266
69	0.2832123517
70	0.2829377407
71	0.2825260604
72	0.2818535876
73	0.2813992683
74	0.2801894917
75	0.2798050383
76	0.2789195837
77	0.2786036067
78	0.2782111321
79	0.2780025035
80	0.2775602058
81	0.2771633954
82	0.2763033561
83	0.2757864668
84	0.2753816397
85	0.2751283963
86	0.2745216015
87	0.2740897615
88	0.2735858707
89	0.2732670814
90	0.2730541953
91	0.272965205
92	0.2724912188
93	0.2718717124
94	0.2717728963
95	0.271295606
96	0.2709583155
97	0.2704860478
98	0.2701610441
99	0.2694315409
100	0.2689732323
101	0.2682278535
102	0.2678964034
103	0.2678006875
104	0.267277928
105	0.2667946719
106	0.2662821035
107	0.2660475617
108	0.265935791
109	0.2654341731
110	0.2651252937
111	0.2649624547
112	0.2645252446
113	0.2642738691
114	0.263836235
115	0.2634770407
116	0.262656524
117	0.262299918
118	0.2615733431
119	0.2613654071
120	0.260981437
121	0.2607240209
122	0.2606489554
123	0.2604940445
124	0.2601070924
125	0.259670707
126	0.2594723769
127	0.2592330522
128	0.2588919079
129	0.2585328857
130	0.2580293945
131	0.2577481278
132	0.257416297
133	0.2567357878
134	0.2564352701
135	0.2560926563
136	0.2558366599
137	0.255617613
138	0.2553079542
139	0.2548778378
140	0.2547684594
141	0.2546336224
142	0.254360285
143	0.254077302
144	0.2536996048
145	0.2533924843
146	0.2531261218
147	0.2530207068
148	0.2527053987
149	0.2521852195
150	0.2520980715
151	0.2518775715
152	0.2512453301
153	0.2509822434
154	0.2506633736
155	0.2504609553
156	0.2503643858
157	0.2502289165
158	0.2498213503
159	0.2497757609
160	0.2494370862
161	0.2492409564
162	0.2489000467
163	0.2486424599
164	0.2483748779
165	0.2480972638
166	0.2477848886
167	0.2475547644
168	0.2475374064
169	0.2471425835
170	0.2471331103
171	0.2468582882
172	0.2467421261
173	0.2466149115
174	0.246325209
175	0.246128808
176	0.2456971545
177	0.2452400789
178	0.244989105
179	0.2447791344
180	0.2444492071
181	0.2442532915
182	0.2441002147
183	0.2436774047
184	0.2435339251
185	0.2431880392
186	0.2431180689
187	0.2431099689
188	0.2428687695
189	0.2427004746
190	0.2423557812
191	0.2419240789
192	0.2415634432
193	0.2412555374
194	0.2408074357
195	0.2405563662
196	0.2405323537
197	0.2405251313
198	0.2402776224
199	0.2400279096
