iter	Passed	Remaining
0	86	17253
1	181	17982
2	253	16630
3	329	16123
4	418	16320
5	519	16785
6	614	16953
7	694	16664
8	773	16420
9	873	16600
10	950	16338
11	1018	15954
12	1106	15923
13	1201	15956
14	1265	15606
15	1336	15371
16	1458	15700
17	1549	15666
18	1755	16726
19	1912	17208
20	2006	17101
21	2089	16907
22	2207	16988
23	2305	16910
24	2416	16918
25	2500	16736
26	2570	16471
27	2645	16252
28	2724	16067
29	2798	15858
30	2902	15823
31	2962	15551
32	3026	15313
33	3087	15073
34	3154	14872
35	3219	14667
36	3285	14474
37	3346	14268
38	3413	14089
39	3480	13920
40	3552	13775
41	3624	13634
42	3692	13482
43	3766	13355
44	3845	13243
45	3921	13128
46	4004	13035
47	4069	12888
48	4137	12749
49	4202	12607
50	4270	12475
51	4345	12367
52	4411	12235
53	4473	12093
54	4535	11955
55	4595	11817
56	4659	11688
57	4720	11558
58	4795	11461
59	4871	11366
60	4940	11257
61	5003	11136
62	5073	11033
63	5133	10907
64	5192	10785
65	5256	10673
66	5325	10571
67	5390	10463
68	5456	10359
69	5530	10270
70	5655	10276
71	5752	10227
72	5816	10118
73	5885	10020
74	5960	9933
75	6033	9844
76	6108	9757
77	6178	9663
78	6249	9571
79	6320	9481
80	6391	9389
81	6455	9289
82	6518	9188
83	6583	9092
84	6645	8990
85	6708	8892
86	6772	8796
87	6837	8702
88	6902	8608
89	6965	8513
90	7044	8437
91	7111	8348
92	7173	8253
93	7238	8163
94	7300	8069
95	7366	7980
96	7427	7887
97	7505	7812
98	7578	7731
99	7643	7643
100	7710	7557
101	7781	7476
102	7846	7389
103	7904	7296
104	7969	7210
105	8033	7123
106	8100	7040
107	8165	6956
108	8234	6874
109	8304	6794
110	8370	6711
111	8436	6628
112	8503	6546
113	8570	6465
114	8648	6392
115	8730	6322
116	8812	6251
117	8880	6171
118	8953	6094
119	9015	6010
120	9077	5926
121	9137	5842
122	9197	5758
123	9255	5673
124	9317	5590
125	9388	5514
126	9459	5437
127	9522	5356
128	9585	5275
129	9656	5199
130	9725	5122
131	9787	5042
132	9854	4964
133	9919	4885
134	9978	4804
135	10037	4723
136	10115	4651
137	10176	4572
138	10236	4492
139	10298	4413
140	10359	4334
141	10421	4256
142	10482	4178
143	10541	4099
144	10602	4021
145	10671	3946
146	10802	3894
147	10860	3815
148	10924	3739
149	10989	3663
150	11046	3584
151	11105	3506
152	11171	3431
153	11233	3355
154	11295	3279
155	11351	3201
156	11411	3125
157	11469	3048
158	11529	2972
159	11594	2898
160	11665	2825
161	11740	2753
162	11813	2681
163	11884	2608
164	11947	2534
165	12021	2462
166	12090	2389
167	12164	2317
168	12233	2243
169	12307	2171
170	12377	2099
171	12457	2028
172	12525	1954
173	12590	1881
174	12703	1814
175	12812	1747
176	12873	1672
177	12950	1600
178	13023	1527
179	13094	1454
180	13161	1381
181	13228	1308
182	13299	1235
183	13359	1161
184	13427	1088
185	13503	1016
186	13566	943
187	13625	869
188	13688	796
189	13751	723
190	13816	651
191	13877	578
192	13943	505
193	14010	433
194	14079	361
195	14142	288
196	14199	216
197	14260	144
198	14319	71
199	14386	0
