Edad,D1_MaxD12m,DiasAtrasos_12m,AntiguedadSF_u24m,flg_Garantias,flg_SituacionLaboral,Default,flg_Clean
34,0.000135888,1,17,0,0,1,1
40,0.014982707,2,24,0,1,0,1
48,0.117866061,3,24,1,1,0,1
36,0.998635993,1,15,0,1,0,1
45,0.312798492,1,23,0,1,0,1
35,0.728324324,1,19,0,0,0,1
40,0.519165487,0,23,0,1,0,1
38,0.23733786,2,24,1,1,0,1
50,0.918162947,5,19,1,1,0,1
43,0.356485569,1,23,0,1,0,1
41,0.961338251,3,23,0,0,0,1
41,0.218432785,0,21,0,1,0,1
37,0.908079848,1,15,0,1,0,1
46,0.000344703,1,17,0,1,0,1
43,0.907391513,1,24,0,1,0,1
44,0.014874241,1,15,0,1,0,1
46,0.308077582,1,23,0,1,0,1
30,0.076109207,3,23,0,0,0,1
48,0.342289395,5,24,0,1,0,1
32,0.043153682,0,22,0,1,0,1
44,0.869725696,1,21,0,1,0,1
40,0.35376816,2,24,0,1,0,1
33,0.999662983,2,22,0,0,0,1
39,0.703318493,3,20,0,1,0,1
52,0.544830822,1,24,0,0,0,1
37,0.14494683,1,15,1,1,0,1
36,0.980527907,2,20,0,1,0,1
48,0.01928908,2,23,0,0,0,1
35,0.543876159,2,24,1,1,0,1
37,0.83618139,7,18,0,1,0,1
33,0.566853979,1,14,0,1,0,1
50,0.004752505,0,23,0,1,0,1
42,0.661250546,1,21,0,1,0,1
32,0.826079528,0,24,0,0,0,1
46,0.70855007,2,18,0,1,0,1
28,0.04352755,2,21,1,1,0,1
42,0.648402409,1,23,1,1,0,1
41,0.997609484,5,17,1,1,0,1
51,0.461080484,2,24,1,1,0,1
46,0.002639764,1,24,0,1,0,1
30,0.025694957,1,20,0,1,0,1
41,0.839206918,2,17,1,0,0,1
46,0.674222788,1,23,0,1,0,1
29,0.045645273,2,24,1,1,0,1
47,0.005194612,2,17,1,0,0,1
45,0.162177496,1,23,0,0,0,1
35,0.0063211,2,23,1,0,0,1
46,0.125348402,2,22,0,1,0,1
51,0.045300638,2,18,0,1,0,1
33,0.885035372,1,22,0,1,0,1
43,0.329382115,1,23,0,1,0,1
36,0.258071151,0,19,1,0,1,1
40,0.167769971,2,17,0,0,0,1
35,0.996665496,2,23,0,1,0,1
44,0.707974303,2,19,0,1,0,1
34,0.924227809,3,18,0,1,0,1
49,0.644114511,2,24,0,1,0,1
38,0.878746119,1,21,0,1,0,1
24,0.054638331,2,18,0,1,0,1
36,0.120445325,1,22,1,1,0,1
38,0.903578782,1,24,1,0,0,1
42,0.931662939,2,17,0,0,0,1
25,0.62811244,2,17,0,0,0,1
30,0.650911206,1,19,1,1,0,1
49,0.999990443,2,24,1,1,0,1
39,0.192864762,1,23,0,1,0,1
42,0.559596815,1,19,1,1,0,1
34,0.304976334,2,22,0,0,0,1
45,0.923705488,0,19,0,1,0,1
39,0.851147459,2,22,0,0,0,1
35,0.780499826,2,17,0,1,0,1
43,0.846803475,4,17,0,0,0,1
34,0.09394214,1,24,0,1,0,1
42,0.237184619,1,17,0,0,0,1
42,0.514581339,2,17,0,1,0,1
33,0.895529383,2,21,0,1,0,1
45,0.222427701,1,20,0,1,0,1
41,0.244116163,1,21,1,0,0,1
42,0.9464584,3,24,0,0,0,1
33,0.481236493,1,17,0,1,0,1
37,0.580885814,2,17,0,1,0,1
40,0.766268759,3,24,1,0,0,1
49,0.187404064,4,18,0,1,0,1
32,0.027205496,3,22,0,1,0,1
63,0.985099733,0,22,1,1,0,1
45,0.022260439,2,23,0,1,0,1
43,0.617850436,3,16,0,1,0,1
47,0.357088778,4,12,0,1,0,1
39,0.101143128,5,21,0,1,1,1
45,0.006387637,2,22,0,1,0,1
42,0.766913665,0,14,0,0,1,1
49,0.185264732,1,16,0,1,0,1
50,0.015916693,3,18,0,1,0,1
49,0.142653632,1,23,0,1,0,1
40,0.480393617,1,21,0,1,0,1
40,0.575929444,0,24,0,1,0,1
40,0.648947702,2,22,1,1,0,1
37,0.002390003,1,24,1,1,0,1
44,0.908221106,2,15,0,1,1,1
27,0.011950875,1,20,1,1,0,1
46,0.163111686,2,18,1,1,0,1
28,0.682104867,0,23,0,0,0,1
35,0.515787132,2,20,0,1,1,1
39,0.94104187,1,14,1,1,0,1
29,0.004555375,2,24,0,1,0,1
37,0.01104754,2,23,0,1,0,1
36,0.000718935,6,22,1,1,0,1
40,0.137767152,3,19,0,0,0,1
39,0.068252734,0,24,0,1,0,1
38,0.423473221,2,15,0,1,0,1
43,0.804920814,2,20,0,1,0,1
34,0.991055745,1,17,0,0,0,1
38,0.068477303,0,20,0,1,0,1
40,0.667267414,1,22,1,1,0,1
43,0.004971501,2,24,0,0,0,1
37,0.113404851,1,17,0,1,0,1
41,0.812638786,2,22,0,1,0,1
41,0.075456908,4,24,0,1,0,1
42,0.095488067,5,15,0,1,0,1
43,0.999228518,2,23,0,1,0,1
49,0.329941731,2,20,0,1,0,1
36,0.969781005,1,24,0,0,0,1
52,0.529823408,1,21,0,0,0,1
36,0.971342727,0,15,0,1,0,1
40,0.899520995,1,23,1,0,0,1
37,0.404961256,2,22,1,1,0,1
42,0.663959136,2,24,1,1,0,1
41,0.969249124,1,24,0,1,0,1
38,0.656249108,1,23,0,1,0,1
41,0.966343375,4,24,0,1,0,1
39,0.894961109,0,23,0,1,0,1
37,0.965798245,2,16,0,1,0,1
49,0.258278031,3,20,0,1,0,1
43,0.780119684,1,19,0,0,0,1
48,0.930599898,1,22,0,1,0,1
30,0.059577145,1,18,0,1,0,1
42,0.90133539,0,24,0,1,0,1
42,0.965456651,2,24,0,0,0,1
38,0.359580168,3,20,0,0,1,1
47,0.983377451,2,20,0,0,0,1
34,0.410342171,2,11,0,0,0,1
37,0.075597553,3,23,0,1,0,1
44,0.100867166,2,18,0,1,0,1
37,0.809120305,1,20,1,1,0,1
33,0.113796133,4,24,0,0,0,1
38,0.284526168,2,22,0,1,0,1
40,0.124677775,2,24,0,0,0,1
38,0.0015963,3,21,0,0,0,1
42,0.996944793,1,21,0,1,0,1
47,0.987614028,3,21,0,1,0,1
52,0.932853198,0,24,0,0,1,1
35,0.028501688,3,22,0,1,0,1
39,0.797214441,3,24,0,0,0,1
41,0.027672725,2,15,0,0,1,1
39,0.975508161,2,24,0,1,0,1
41,0.81411745,1,24,0,0,0,1
46,0.170216808,2,23,0,1,0,1
44,0.903110227,1,22,0,1,0,1
41,0.072060933,2,23,0,1,0,1
38,0.364991521,2,24,1,0,0,1
44,0.937394581,1,23,0,1,0,1
47,0.709262779,1,18,0,1,0,1
54,0.92423942,0,13,0,0,0,1
47,0.003281201,1,23,0,1,0,1
40,0.026042385,2,22,0,1,0,1
27,0.444068946,1,24,0,1,0,1
36,0.721486795,2,24,0,1,0,1
43,0.955235983,3,22,0,1,0,1
36,0.404975245,0,23,1,1,0,1
40,0.057145669,0,24,0,1,0,1
41,0.461655187,2,19,0,1,0,1
43,0.15596057,2,19,0,1,0,1
39,0.248645569,1,22,0,0,0,1
36,0.232686906,1,18,1,1,0,1
42,0.966253774,2,21,0,1,0,1
40,0.383515556,1,22,1,0,0,1
40,0.25366819,1,20,0,0,0,1
40,0.766799449,4,18,1,0,0,1
43,0.097882046,1,9,0,1,0,1
39,0.730850108,5,18,0,1,0,1
38,0.962605007,0,23,0,1,0,1
40,0.998605059,2,23,0,0,0,1
39,0.978952154,1,19,0,1,0,1
47,0.702955461,1,23,0,1,0,1
29,0.379118333,5,24,0,1,0,1
49,0.573812206,1,24,0,1,0,1
43,0.549345564,2,22,1,1,0,1
39,0.227149532,3,24,0,0,0,1
36,0.003884837,1,22,0,1,0,1
35,0.08038834,0,18,1,1,0,1
42,0.944602466,1,19,0,1,0,1
47,0.317579129,1,24,0,1,0,1
47,0.080357295,3,22,0,1,0,1
46,0.998297891,4,24,1,1,0,1
44,0.987929427,4,24,0,1,0,1
49,0.820161042,3,23,1,1,0,1
41,0.579570569,2,20,0,1,0,1
34,0.563033012,3,22,0,1,0,1
39,0.012047592,1,21,0,0,0,1
39,0.971304409,2,23,0,1,0,1
35,0.730709432,4,23,0,1,0,1
30,0.869679705,1,22,0,1,0,1
44,0.488256741,3,23,0,1,0,1
41,0.212251591,2,24,0,1,0,1
38,0.528851653,3,18,0,1,0,1
44,0.897391578,2,17,0,1,0,1
35,0.997143165,3,21,1,0,0,1
34,0.963396917,2,18,0,1,0,1
45,0.900245713,1,23,0,1,0,1
32,0.487239126,1,17,0,1,0,1
50,0.824922116,1,24,0,1,0,1
45,0.138570111,2,16,0,1,0,1
37,0.006390005,2,22,0,1,1,1
37,0.957883429,1,17,0,0,0,1
44,0.996409645,1,16,0,1,0,1
43,0.562296085,9,22,0,1,0,1
37,0.618063243,0,22,0,1,0,1
41,0.200964695,1,24,0,0,0,1
46,0.870360833,2,17,0,1,0,1
46,0.909582654,1,23,0,0,0,1
33,0.023407112,0,20,1,1,0,1
41,0.379377751,2,24,1,0,0,1
43,0.761193632,2,19,0,0,0,1
39,0.679639614,4,23,1,1,0,1
37,0.751200676,3,22,0,0,0,1
28,3.84E-05,2,12,1,0,0,1
45,0.544319841,0,21,0,1,0,1
41,0.016920117,1,24,0,0,0,1
33,0.109801882,1,24,0,1,0,1
47,0.990452221,1,18,1,1,0,1
45,0.000370268,2,23,0,1,0,1
41,0.921847126,4,17,0,1,0,1
44,0.09199494,0,22,0,1,0,1
54,0.998023746,10,20,0,0,0,1
38,0.004434926,2,21,0,1,0,1
38,0.051397985,0,16,0,1,0,1
33,0.960877873,1,19,0,1,1,1
40,0.0146986,1,23,1,1,0,1
46,0.841947428,6,21,0,0,0,1
33,0.184380481,2,22,0,1,0,1
31,0.034805027,1,22,0,1,0,1
39,0.798895334,2,20,1,1,1,1
41,0.694188366,2,23,0,1,0,1
44,0.615123329,0,23,1,1,0,1
42,0.034761762,3,18,0,1,0,1
43,0.408925754,0,24,1,0,0,1
50,0.917245659,4,22,0,0,0,1
35,0.18685088,1,22,1,1,0,1
29,0.06503465,0,24,0,1,0,1
47,0.586433421,1,20,0,1,0,1
41,0.709041124,0,10,0,1,0,1
41,0.183998995,2,19,0,1,0,1
43,0.590714708,4,18,0,1,1,1
26,0.962079999,4,24,0,0,0,1
44,0.51126729,1,8,0,1,0,1
31,0.136836796,2,20,0,1,0,1
41,0.990511731,4,23,0,1,1,1
39,0.338674933,1,24,0,1,0,1
34,0.691203937,0,23,0,1,0,1
41,0.002643077,2,24,0,0,0,1
36,0.194584767,1,22,0,1,0,1
